"country_code","year","income_level"
"ABW",1987,"H"
"ABW",1988,"H"
"ABW",1989,"H"
"ABW",1990,"H"
"ABW",1991,"UM"
"ABW",1992,"UM"
"ABW",1993,"UM"
"ABW",1994,"H"
"ABW",1995,"H"
"ABW",1996,"H"
"ABW",1997,"H"
"ABW",1998,"H"
"ABW",1999,"H"
"ABW",2000,"H"
"ABW",2001,"H"
"ABW",2002,"H"
"ABW",2003,"H"
"ABW",2004,"H"
"ABW",2005,"H"
"ABW",2006,"H"
"ABW",2007,"H"
"ABW",2008,"H"
"ABW",2009,"H"
"ABW",2010,"H"
"ABW",2011,"H"
"ABW",2012,"H"
"ABW",2013,"H"
"ABW",2014,"H"
"ABW",2015,"H"
"ABW",2016,"H"
"ABW",2017,"H"
"ABW",2018,"H"
"ABW",2019,"H"
"ABW",2020,"H"
"ABW",2021,"H"
"ABW",2022,"H"
"ABW",2023,"H"
"AFG",1987,"L"
"AFG",1988,"L"
"AFG",1989,"L"
"AFG",1990,"L"
"AFG",1991,"L"
"AFG",1992,"L"
"AFG",1993,"L"
"AFG",1994,"L"
"AFG",1995,"L"
"AFG",1996,"L"
"AFG",1997,"L"
"AFG",1998,"L"
"AFG",1999,"L"
"AFG",2000,"L"
"AFG",2001,"L"
"AFG",2002,"L"
"AFG",2003,"L"
"AFG",2004,"L"
"AFG",2005,"L"
"AFG",2006,"L"
"AFG",2007,"L"
"AFG",2008,"L"
"AFG",2009,"L"
"AFG",2010,"L"
"AFG",2011,"L"
"AFG",2012,"L"
"AFG",2013,"L"
"AFG",2014,"L"
"AFG",2015,"L"
"AFG",2016,"L"
"AFG",2017,"L"
"AFG",2018,"L"
"AFG",2019,"L"
"AFG",2020,"L"
"AFG",2021,"L"
"AFG",2022,"L"
"AFG",2023,"L"
"AGO",1987,".."
"AGO",1988,"LM"
"AGO",1989,"LM"
"AGO",1990,"LM"
"AGO",1991,"LM"
"AGO",1992,"LM"
"AGO",1993,"LM"
"AGO",1994,"LM"
"AGO",1995,"L"
"AGO",1996,"L"
"AGO",1997,"L"
"AGO",1998,"L"
"AGO",1999,"L"
"AGO",2000,"L"
"AGO",2001,"L"
"AGO",2002,"L"
"AGO",2003,"L"
"AGO",2004,"LM"
"AGO",2005,"LM"
"AGO",2006,"LM"
"AGO",2007,"LM"
"AGO",2008,"LM"
"AGO",2009,"LM"
"AGO",2010,"LM"
"AGO",2011,"UM"
"AGO",2012,"UM"
"AGO",2013,"UM"
"AGO",2014,"UM"
"AGO",2015,"UM"
