"country_name","country_code","year","year_fct","income_level","sdg_overall","spi_comp","sci_overall","di_score","log_gdppc","population","gini","orig_country_text_id_ds1","regime_type_4","regime_type_10","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","freefair","accountability","vt_account","hz_account","diag_account","academ_free","freexp_altinfo","orig_country_ds2","orig_iso3c_ds2","p1_use","p2_services","p3_products","p4_sources","p5_infra","income_spi","region_spi","weights_spi","orig_country_name_ds2","orig_country_name_ds3","orig_country_code_ds3","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17","orig_country_name_ds4","orig_country_code_ds4","IQ.SCI.OVRL","IQ.SCI.MTHD","IQ.SCI.PRDC","IQ.SCI.SRCE","sci_method","sci_periodicity","sci_source","orig_country_name_ds5","orig_country_text_id_ds5","orig_country_id_ds5","regime_type_2","elect_dem_ert","regch_event","regch_genuine","dem_ep","dem_ep_pre_yr","dem_ep_start_yr","dem_ep_end_yr","aut_ep","aut_ep_pre_yr","aut_ep_start_yr","aut_ep_end_yr","orig_country_name_ds6","orig_country_code_ds6","gdp_pc","orig_country_code_ds7","income_level_lab","orig_country_name_ds7","orig_country_name_ds8","orig_country_code_ds8","orig_Entity_ds9","orig_Code_ds9","orig_country_name_ds9"
"Afghanistan","AFG",2004,2004,"L",35.6535228715729,NA,24.44444444,NA,5.40161219268759,24726689,NA,"AFG",1,3,0.24,0.105,0.109,0.255,0.161,0.063,0.375,0.382,-0.412,0.688,0.554,0.671,"Afghanistan","AFG",20,NA,NA,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",9.7735,31.4242857142857,21.5762857142857,1.633,17.6925,15.5418,26.76325,44.3758571428571,5.00542857142857,NA,32.805,95.6038571428572,98.4163333333333,NA,56.1488,42.0545454545455,35.9884,"Afghanistan","AFG","24.44444444","0","53.33333","20",0,53.33333,20,"Afghanistan","AFG",36,0,0.238,0,0,1,0,2001,2006,0,0,NA,NA,"Afghanistan","AFG",221.7636539,"AFG","Low Income Countries","Afghanistan",NA,NA,NA,NA,NA
"Afghanistan","AFG",2005,2005,"L",36.1178119191919,NA,31.11111111,NA,5.53805939420774,25654274,NA,"AFG",1,3,0.339,0.132,0.138,0.298,0.212,0.28,0.435,0.361,0.203,0.73,0.554,0.689,"Afghanistan","AFG",20,NA,45.0125,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",12.807,35.0651428571429,22.1803571428571,1.633,17.6925,15.4676,24.7035,44.3721428571429,5.00542857142857,NA,34.555,95.5104285714286,98.5833333333333,NA,56.1488,42.0545454545455,35.9884,"Afghanistan","AFG","31.11111111","20","53.33333","20",20,53.33333,20,"Afghanistan","AFG",36,0,0.319,0,0,1,0,2001,2006,0,0,NA,NA,"Afghanistan","AFG",254.1842491,"AFG","Low Income Countries","Afghanistan",NA,NA,NA,NA,NA
"Afghanistan","AFG",2006,2006,"L",36.5285431890332,NA,32.22222222,3.06,5.61392542931756,26433058,NA,"AFG",1,3,0.402,0.224,0.161,0.334,0.24,0.28,0.447,0.362,0.226,0.74,0.554,0.698,"Afghanistan","AFG",20,NA,45.80625,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",14.022,35.419,23.9860714285714,1.633,17.6925,16.9812,26.60675,44.365,5.00542857142857,NA,33.4555,95.7982857142857,98.7716666666667,NA,56.1488,42.0545454545455,35.9884,"Afghanistan","AFG","32.22222222","20","56.66667","20",20,56.66667,20,"Afghanistan","AFG",36,0,0.373,0,0,1,0,2001,2006,0,0,NA,NA,"Afghanistan","AFG",274.2185536,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2007,2007,"L",37.2218525541126,NA,34.44444444,NA,5.93018245670644,27100542,NA,"AFG",1,3,0.402,0.226,0.157,0.334,0.242,0.28,0.446,0.358,0.256,0.727,0.554,0.695,"Afghanistan","AFG",20,NA,47.8875,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",18.3035,38.2247142857143,24.6034285714286,1.633,17.6925,19.7364,26.782,44.3712857142857,5.00542857142857,NA,33.9355,95.6652857142857,98.783,NA,56.1488,42.0545454545455,35.3884,"Afghanistan","AFG","34.44444444","20","63.33333","20",20,63.33333,20,"Afghanistan","AFG",36,0,0.373,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",376.223152,"AFG","Low Income Countries","Afghanistan",NA,NA,NA,NA,NA
"Afghanistan","AFG",2008,2008,"L",36.5999244588745,NA,45.55555556,3.02,5.94472203481778,27722281,NA,"AFG",1,3,0.408,0.23,0.159,0.34,0.25,0.28,0.459,0.36,0.257,0.753,0.55,0.726,"Afghanistan","AFG",20,NA,50.95,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",19.1675,36.3778571428571,24.4245,1.633,17.89725,22.5208,15.952,44.3604285714286,5.00542857142857,NA,33.3935,95.4258571428571,98.877,NA,56.1488,42.0545454545455,35.7604,"Afghanistan","AFG","45.55555556","40","66.66667","30",40,66.66667,30,"Afghanistan","AFG",36,0,0.379,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",381.733238,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2009,2009,"L",38.2435184271284,NA,46.66666667,NA,6.11380099025187,28394806,NA,"AFG",1,3,0.397,0.228,0.158,0.338,0.246,0.249,0.437,0.269,0.327,0.767,0.55,0.727,"Afghanistan","AFG",20,NA,50.20625,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",25.548,40.9758571428571,29.2096428571429,1.633,17.89725,28.2326,15.8215,44.3818571428571,5.21457142857143,NA,35.113,94.8722857142857,98.8056666666667,NA,57.3132,42.0545454545455,36.5798,"Afghanistan","AFG","46.66666667","30","70","40",30,70,40,"Afghanistan","AFG",36,0,0.37,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",452.0537055,"AFG","Low Income Countries","Afghanistan",NA,NA,NA,NA,NA
"Afghanistan","AFG",2010,2010,"L",38.3485894660895,NA,52.22222222,2.48,6.32904599957178,29185511,NA,"AFG",1,3,0.378,0.223,0.149,0.329,0.238,0.203,0.447,0.279,0.371,0.764,0.55,0.738,"Afghanistan","AFG",20,NA,46.65625,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",29.323,40.511,31.4207142857143,1.633,17.6925,24.9894,15.1025,44.3757142857143,7.07142857142857,NA,33.7085,94.59,96.3986666666667,NA,57.3132,46.0308181818182,35.0684,"Afghanistan","AFG","52.22222222","40","76.66667","40",40,76.66667,40,"Afghanistan","AFG",36,0,0.353,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",560.6215055,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2011,2011,"L",38.1791251515151,NA,51.11111111,2.48,6.40802566006222,30117411,NA,"AFG",1,3,0.383,0.224,0.151,0.335,0.24,0.217,0.445,0.274,0.382,0.758,0.55,0.738,"Afghanistan","AFG",20,NA,47.91875,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",28.3995,38.5744285714286,29.5423571428571,1.633,17.89725,25.9046,15.558,44.3731428571429,7.21757142857143,NA,33.1045,93.656,98.319,NA,57.3132,45.8567272727273,35.3376,"Afghanistan","AFG","51.11111111","40","73.33333","40",40,73.33333,40,"Afghanistan","AFG",36,0,0.358,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",606.6946763,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2012,2012,"L",39.2869615584416,NA,50,2.48,6.4791501966104,31161378,NA,"AFG",1,3,0.384,0.226,0.152,0.337,0.241,0.221,0.447,0.29,0.358,0.754,0.55,0.738,"Afghanistan","AFG",30,NA,49.16875,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",31.1765,40.1791428571429,29.3916428571428,1.633,17.89725,29.4892,23.8495,44.3697142857143,8.12814285714286,NA,35.07525,93.9535714285714,98.434,NA,57.2632,45.3299090909091,33.1344,"Afghanistan","AFG","50","40","70","40",40,70,40,"Afghanistan","AFG",36,0,0.362,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",651.4171345,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
"Afghanistan","AFG",2013,2013,"L",39.6570526695527,NA,53.33333333,2.48,6.45690637950602,32269592,NA,"AFG",1,3,0.383,0.228,0.159,0.336,0.24,0.227,0.46,0.289,0.514,0.731,0.552,0.733,"Afghanistan","AFG",30,NA,49.7375,NA,NA,"Low income","South Asia",1,"Afghanistan","Afghanistan","AFG",31.772,39.4525714285714,30.1372857142857,1.633,18.126,32.3868,24.35125,44.3682857142857,8.18128571428572,NA,34.68825,94.4012857142857,98.4976666666667,NA,57.2632,45.3299090909091,34.267,"Afghanistan","AFG","53.33333333","50","70","40",50,70,40,"Afghanistan","AFG",36,0,0.357,0,0,0,0,NA,NA,0,0,NA,NA,"Afghanistan","AFG",637.0870991,"AFG","Low Income Countries","Afghanistan","Afghanistan","AFG",NA,NA,NA
