country_name,country_code,year,year_fct,income_level,sdg_overall,spi_comp,sci_overall,di_score,di_reg_type_2,log_gdppc,log_pop,gini_score,regime_type_4,regime_type_10,elect_dem,lib_dem,part_dem,delib_dem,egal_dem,freefair,accountability,vt_account,hz_account,diag_account,academ_free,freexp_altinfo,population,p1_use,p2_services,p3_products,p4_sources,p5_infra,income_spi,region_spi,weights_spi,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,sci_method,sci_periodicity,sci_source,regime_type_2,elect_dem_ert,regch_event,regch_genuine,dem_ep,dem_ep_pre_yr,dem_ep_start_yr,dem_ep_end_yr,aut_ep,aut_ep_pre_yr,aut_ep_start_yr,aut_ep_end_yr,gdp_pc,income_level_lab
Afghanistan,AFG,2015,2015,L,41.51240873015873,NA,51.1111,2.77,0,6.337833595469902,17.35396248022591,NA,1,3,0.375,0.225,0.161,0.339,0.231,0.227,0.427,0.267,0.526,0.665,0.542,0.709,34413603,50,NA,53.56875000000001,25.441666666666663,NA,Low income,South Asia,1,30.885,39.17142857142857,33.51935714285715,17.4635,19.13175,36.6188,26.58375,44.92685714285715,7.941714285714285,NA,34.63025,94.84385714285716,98.67666666666666,NA,57.2632,46.833,34.197,40,73.3333,40,0,0.353,0,0,0,0,NA,NA,0,1,2016,2024,565.5697304,Low Income Countries
Angola,AGO,2015,2015,UM,51.96086258594347,NA,47.77776667,3.35,0,8.075241244344893,17.143577233382526,NA,1,3,0.309,0.134,0.074,0.124,0.11,0.202,-0.171,0.171,-0.874,-0.065,0.402,0.453,27884380,60,NA,67.33124999999998,38.49166666666667,NA,Lower middle income,Sub-Saharan Africa,1,52.724,55.299875,32.72992857142857,42.37875,49.32625,51.3914,35.1155,57.05957142857143,16.34414285714286,39.4355,44.84425,92.52071428571428,91.02066666666668,69.57533333333333,63.3874,40.11318181818181,50.0682,40,73.3333,30,0,0.292,0,0,0,0,NA,NA,0,0,NA,NA,3213.902611,Upper-Middle Income Countries
Albania,ALB,2015,2015,UM,71.53913357524827,NA,72.22223333,5.91,1,8.282180371700328,14.873544919547472,32.8,2,5,0.527,0.442,0.322,0.3,0.384,0.489,0.843,0.733,0.917,0.88,0.855,0.759,2880703,80,NA,63.1,65.79166666666666,NA,Upper middle income,Europe & Central Asia,1,96.5275,46.83028571428571,80.86507142857144,94.54425,49.22475,75.65020000000001,82.57925,58.82642857142856,36.46385714285714,81.504,86.52300000000001,80.81371428571428,90.39,43.194,82.9696,66.23736363636364,63.02200000000001,50,66.6667,100,1,0.524,0,0,0,0,NA,NA,0,0,NA,NA,3952.803574,Upper-Middle Income Countries
United Arab Emirates,ARE,2015,2015,H,64.18961892372333,NA,NA,2.75,0,10.681320428554548,16.04152730070903,NA,0,0,0.094,0.09,0.031,0.084,0.14,0.452,-0.63,-0.048,-0.523,-0.762,0.144,0.126,9262896,40,NA,35.56875,NA,NA,High income,Middle East & North Africa,1,99.4965,67.21787499999999,83.40615384615384,86.01400000000001,51.44074999999999,57.9236,67.4915,60.7317142857143,69.1267142857143,84.33250000000001,68.6425,47.61071428571428,20.6,70.3635,44.814,74.0529,37.9586,NA,NA,NA,0,0.097,0,0,0,0,NA,NA,0,0,NA,NA,43534.99727,High Income Countries
Argentina,ARG,2015,2015,UM,73.78207654061623,NA,95.55556667,7.02,1,9.52366288817224,17.579774950705943,NA,2,6,0.771,0.598,0.517,0.566,0.604,0.853,1.239,1.242,0.724,1.233,0.947,0.88,43131966,70,NA,74.20625000000001,69.16666666666667,NA,Upper middle income,Latin America & Caribbean,1,97.254,67.38787500000001,82.28692857142858,94.59833333333334,75.21075,77.5026,72.09825000000001,74.48285714285714,51.06828571428571,44.26600000000001,88.54275000000001,80.03757142857141,88.73866666666667,67.24583333333332,60.2374,59.20339999999999,74.13380000000001,100,86.6667,100,1,0.776,0,0,0,0,NA,NA,0,0,NA,NA,13679.6265,Upper-Middle Income Countries
Armenia,ARM,2015,2015,LM,71.95937001488096,NA,93.33333333,4,0,8.164052993751753,14.888996131499804,32.4,1,3,0.35,0.207,0.194,0.226,0.284,0.195,0.245,0.19,-0.37,0.657,0.669,0.612,2925559,80,NA,68.96249999999999,62.49166666666666,NA,Upper middle income,Europe & Central Asia,1,91.6995,59.035375,75.36749999999999,78.66825,52.218,64.1368,74.971,65.0265,40.15014285714286,81.0985,87.23666666666666,89.71871428571428,92.117,NA,61.5406,77.28257142857142,61.0828,100,80,100,0,0.345,0,0,1,0,2010,2019,0,0,NA,NA,3512.393503,Lower-Middle Income Countries
Australia,AUS,2015,2015,H,75.19509779093454,NA,NA,9.01,1,10.946217551536074,16.98586797173483,NA,3,9,0.866,0.825,0.603,0.794,0.751,0.953,1.844,1.62,2.066,1.59,0.896,0.951,23815995,80,NA,68.05624999999999,NA,NA,High income,East Asia & Pacific,1,99.5425,57.962125,95.60214285714288,93.93866666666668,77.26474999999999,90.8128,71.28725,81.93657142857141,90.87614285714284,76.5315,93.42575,47.366,21.18033333333333,65.16816666666666,61.191,88.44436363636363,65.78659999999999,NA,NA,NA,1,0.872,0,0,0,0,NA,NA,0,0,NA,NA,56739.02653,High Income Countries
Austria,AUT,2015,2015,H,82.52995381285382,NA,NA,8.54,1,10.69001641864105,15.972225476257696,30.5,3,9,0.873,0.805,0.661,0.793,0.774,0.945,1.665,1.423,1.645,1.674,0.978,0.967,8642699,80,NA,68.26875,NA,NA,High income,Europe & Central Asia,1,99.2815,74.059,93.41376923076922,97.46333333333332,77.78625,92.4874,85.59774999999999,78.23171428571429,88.81714285714285,93.8995,95.83366666666666,42.20542857142857,69.50033333333333,NA,72.4974,91.17527272727273,68.2298,NA,NA,NA,1,0.872,0,0,0,0,NA,NA,0,0,NA,NA,43915.22802,High Income Countries
Azerbaijan,AZE,2015,2015,UM,70.367390625,NA,67.7778,2.71,0,8.612594939028103,16.08240018082785,NA,1,3,0.195,0.065,0.06,0.06,0.139,0.057,-0.866,-0.335,-1.463,-0.776,0.105,0.17,9649341,50,NA,59.50000000000001,63.46666666666666,NA,Upper middle income,Europe & Central Asia,1,99.288,57.88742857142857,70.40485714285714,70.101,52.28625,64.631,68.20500000000001,69.38266666666667,37.42857142857143,97.5,81.34049999999999,84.23314285714285,78.96933333333334,NA,65.19160000000001,66.3265,62.7024,60,83.3334,60,0,0.194,0,0,0,0,NA,NA,0,0,NA,NA,5500.503646,Upper-Middle Income Countries
Burundi,BDI,2015,2015,L,53.65954613095238,NA,55.55556667,2.49,0,5.638236624288412,16.133972346565702,NA,1,3,0.199,0.061,0.17,0.091,0.128,0.08,-0.787,-0.436,-0.898,-0.735,0.141,0.226,10160034,60,NA,65.75,25.73333333333333,NA,Low income,Sub-Saharan Africa,1,0,58.41014285714285,43.72557142857142,41.631,50.0945,54.4828,16.428,65.73183333333333,14.361,58.366,63.31266666666667,96.802,99.53466666666668,NA,82.3182,52.68185714285715,60.6725,40,86.6667,40,0,0.197,0,0,0,0,NA,NA,1,0,2009,2016,280.9668313,Low Income Countries
