country_name,country_code,year,year_fct,income_level,sdg_overall,spi_comp,sci_overall,di_score,di_reg_type_2,log_gdppc,log_pop,gini_score,regime_type_4,regime_type_10,elect_dem,lib_dem,part_dem,delib_dem,egal_dem,freefair,accountability,vt_account,hz_account,diag_account,academ_free,freexp_altinfo,population,p1_use,p2_services,p3_products,p4_sources,p5_infra,income_spi,region_spi,weights_spi,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,sci_method,sci_periodicity,sci_source,regime_type_2,elect_dem_ert,regch_event,regch_genuine,dem_ep,dem_ep_pre_yr,dem_ep_start_yr,dem_ep_end_yr,aut_ep,aut_ep_pre_yr,aut_ep_start_yr,aut_ep_end_yr,gdp_pc,income_level_lab
Afghanistan,AFG,2004,2004,L,35.65352287157287,NA,24.44444444,NA,NA,5.401612192687587,17.023393744565613,NA,1,3,0.24,0.105,0.109,0.255,0.161,0.063,0.375,0.382,-0.412,0.688,0.554,0.671,24726689,20,NA,NA,NA,NA,Low income,South Asia,1,9.7735,31.42428571428572,21.57628571428571,1.633,17.6925,15.5418,26.76325,44.37585714285714,5.005428571428571,NA,32.80500000000001,95.60385714285717,98.41633333333334,NA,56.14880000000001,42.05454545454546,35.9884,0,53.33333,20,0,0.238,0,0,1,0,2001,2006,0,0,NA,NA,221.7636539,Low Income Countries
Angola,AGO,2004,2004,LM,47.09611073338426,NA,41.11111111,NA,NA,7.143784148076377,16.747138242885033,NA,0,0,0.176,0.092,0.057,0.09,0.07,0,-0.3,-0.745,-0.883,-0.145,0.395,0.406,18758138,20,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,1,46.247,46.44825,23.3435,41.6275,35.6755,46.2486,15.56175,58.98757142857144,12.50414285714286,15.493,48.60925,94.021,92.61066666666666,67.26133333333333,62.5716,37.70381818181819,55.71939999999999,30,63.33333,30,0,0.167,0,0,0,0,NA,NA,0,0,NA,NA,1266.210864,Lower-Middle Income Countries
Albania,ALB,2004,2004,LM,67.42275935828876,NA,76.66666667,NA,NA,7.772155187246866,14.92306243583516,NA,1,4,0.49,0.405,0.32,0.382,0.354,0.385,0.849,0.524,1.113,1.05,0.839,0.798,3026939,20,NA,NA,NA,NA,Upper middle income,Europe & Central Asia,1,92.8995,43.08042857142857,75.11378571428573,88.749,37.85825000000001,71.9222,74.45075,61.16757142857143,19.59671428571429,84.39699999999999,84.13100000000001,80.448,90.542,37.59840000000001,71.0646,70.4039090909091,62.7638,60,70,100,0,0.486,0,0,1,0,1998,2006,0,0,NA,NA,2373.581292,Lower-Middle Income Countries
United Arab Emirates,ARE,2004,2004,H,59.60541263197585,NA,NA,NA,NA,10.415613787041169,15.21880386483382,NA,0,0,0.02,0.068,0.014,0.083,0.111,0,-1.036,-1.444,-0.662,-0.859,0.217,0.116,4068577,20,NA,NA,NA,NA,High income,Middle East & North Africa,1,99.8135,65.709125,76.09092307692308,90.838,38.316,57.848,66.10175,56.15828571428572,43.75885714285715,84.33250000000001,70.1605,39.60985714285714,16.36033333333333,66.44283333333333,32.66325,71.1297,37.9586,NA,NA,NA,0,0.019,0,0,0,0,NA,NA,0,0,NA,NA,33376.71523,High Income Countries
Argentina,ARG,2004,2004,UM,68.12861918767508,NA,92.22222222,NA,NA,8.352795083485793,17.465960206075398,48.5,2,6,0.801,0.643,0.547,0.605,0.636,0.869,1.363,1.305,0.808,1.422,0.953,0.912,38491970,40,NA,NA,NA,NA,Upper middle income,Latin America & Caribbean,1,87.626,69.092,79.49614285714287,91.34833333333334,72.55575,76.4358,69.4535,66.15371428571429,30.67742857142857,20.5635,86.55050000000001,80.64985714285714,90.557,60.809,57.8362,55.016,63.3658,100,96.66667,80,1,0.804,0,0,0,0,NA,NA,0,0,NA,NA,4242.020991,Upper-Middle Income Countries
Armenia,ARM,2004,2004,LM,66.87960066964285,NA,77.77777778,NA,NA,7.030050708680124,14.91436115156884,37.5,1,3,0.346,0.186,0.183,0.18,0.294,0.161,0.196,0.172,-0.514,0.605,0.648,0.594,3000715,40,NA,NA,NA,NA,Upper middle income,Europe & Central Asia,1,75.50200000000001,59.61112499999999,67.53242857142858,67.7065,44.918,65.2704,72.037,66.628,21.14642857142857,62.1655,86.54699999999998,91.63028571428572,95.227,NA,59.61960000000001,77.56414285714285,56.9682,70,83.33333,80,0,0.343,0,0,0,0,NA,NA,1,0,1994,2008,1130.087914,Lower-Middle Income Countries
Australia,AUS,2004,2004,H,72.23141235676088,NA,NA,NA,NA,10.336461812978788,16.817592628817014,33.1,3,9,0.88,0.84,0.635,0.805,0.779,0.953,1.847,1.534,1.918,1.762,0.913,0.966,20127400,40,NA,NA,NA,NA,High income,East Asia & Pacific,1,99.832,62.389375,92.47571428571428,74.25866666666667,73.39825,83.31320000000001,69.66,84.991,78.63671428571429,81.48750000000001,92.86325,45.32914285714286,18.99266666666667,59.36216666666667,58.2984,88.92736363636364,63.7186,NA,NA,NA,1,0.877,0,0,0,0,NA,NA,0,0,NA,NA,30836.73068,High Income Countries
Austria,AUT,2004,2004,H,79.64869087631119,NA,NA,NA,NA,10.508192805629594,15.916220074362782,29.8,3,9,0.861,0.787,0.619,0.758,0.764,0.928,1.58,1.327,1.481,1.659,0.975,0.965,8171966,40,NA,NA,NA,NA,High income,Europe & Central Asia,1,99.858,77.126125,85.8576153846154,96.463,75.396,91.96,79.27925,76.09442857142858,73.09928571428571,93.6355,94.55333333333331,36.90528571428571,62.41566666666667,NA,71.7232,92.66936363636364,67.343,NA,NA,NA,1,0.861,0,0,0,0,NA,NA,0,0,NA,NA,36614.25065,High Income Countries
Azerbaijan,AZE,2004,2004,LM,66.59118898809524,NA,76.66666667,NA,NA,6.951785210246828,15.93254889880867,26.6,1,3,0.223,0.077,0.085,0.059,0.142,0.128,-0.637,-0.194,-1.436,-0.451,0.127,0.238,8306500,40,NA,NA,NA,NA,Upper middle income,Europe & Central Asia,1,97.6755,59.79357142857142,57.69757142857141,63.2165,48.16500000000001,56.4766,64.01025,65.08966666666667,13.8,97.25,74.90875,85.78171428571429,80.623,NA,63.63720000000001,70.6925,66.6412,70,80,80,0,0.223,0,0,0,0,NA,NA,0,0,NA,NA,1045.013633,Lower-Middle Income Countries
Burundi,BDI,2004,2004,L,50.01675863095239,NA,43.33333333,NA,NA,4.829872243799883,15.78005851051359,NA,0,0,0.214,0.157,0.15,0.247,0.165,0,0.285,-0.712,0.085,0.419,0.235,0.672,7131688,20,NA,NA,NA,NA,Low income,Sub-Saharan Africa,1,0,57.12814285714286,23.66578571428571,15.8105,42.543,52.3122,15.8855,64.65566666666666,14.43585714285714,77.7525,50.218,97.02857142857144,99.77,NA,82.3182,50.5317142857143,56.2125,40,70,20,0,0.209,0,0,1,0,2002,2006,0,0,NA,NA,125.1949652,Low Income Countries
Belgium,BEL,2004,2004,H,73.89158373391314,NA,NA,NA,NA,10.475297482788973,16.159346705419193,30.5,3,9,0.864,0.8,0.619,0.777,0.802,0.954,1.631,1.439,1.535,1.605,0.968,0.973,10421137,40,NA,NA,NA,NA,High income,Europe & Central Asia,1,95.6875,73.58075000000001,87.9556923076923,94.48333333333332,77.40775000000001,66.7432,68.19075000000001,79.49057142857144,72.01471428571429,95.7745,95.86375,35.723,52.66666666666666,53.46500000000001,67.8656,81.41154545454546,57.8326,NA,NA,NA,1,0.866,0,0,0,0,NA,NA,0,0,NA,NA,35429.40779,High Income Countries
Benin,BEN,2004,2004,L,48.93514964985994,NA,53.33333333,NA,NA,6.631600911552407,15.86320378842623,NA,2,7,0.605,0.498,0.401,0.552,0.444,0.528,1.136,0.777,1.385,1.326,0.833,0.9,7750003,20,NA,NA,NA,NA,Lower middle income,Sub-Saharan Africa,1,21.557,56.517625,30.99707142857143,31.807,23.671,47.1698,7.835,71.3577142857143,14.15033333333333,58.2095,42.31925,97.67866666666664,98.56833333333331,59.86219999999999,65.345,48.81530000000001,56.03675,40,70,50,1,0.606,0,0,0,0,NA,NA,0,0,NA,NA,758.6958038,Low Income Countries
