"country_code","spi_comp_na_count","sdg_overall_na_count","sci_overall_na_count","p1_use_na_count","p2_services_na_count","p3_products_na_count","p4_sources_na_count","p5_infra_na_count","goal1_na_count","goal2_na_count","goal3_na_count","goal4_na_count","goal5_na_count","goal6_na_count","goal7_na_count","goal8_na_count","goal9_na_count","goal10_na_count","goal11_na_count","goal12_na_count","goal13_na_count","goal14_na_count","goal15_na_count","goal16_na_count","goal17_na_count"
"AFG",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0
"AGO",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE",12,0,20,0,12,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARG",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"AUS",12,0,20,0,12,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUT",12,0,20,0,12,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"AZE",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"BDI",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"BEL",12,0,20,0,12,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"BGD",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",12,0,20,0,12,1,12,12,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"BHS",12,0,20,0,12,1,12,12,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"BIH",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"BLZ",12,0,4,0,12,1,11,12,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"BOL",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"BRA",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRB",18,0,20,0,18,1,18,12,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"BRN",16,0,20,0,16,1,16,12,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
"BTN",12,0,4,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"BWA",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"CAF",18,0,3,0,18,1,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"CAN",12,0,20,0,12,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHE",12,0,20,0,12,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
"CHL",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHN",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CIV",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMR",12,0,3,0,12,1,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
