country_name,country_code,year,sdg_overall,spi_comp,sci_overall,di_score,di_reg_type_2,elect_dem,aut_ep,dem_ep,has_aut_ep,has_dem_ep,total_aut_ep,total_dem_ep,has_neither,regime_type_4,regch_event,autocracy,democracy,autocratized,democratized,stable,log_gdppc,income_level,income_level_recoded,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,p1_use,p2_services,p3_products,p4_sources,p5_infra,cen_spi_comp,cen_spi_comp_lag1,cen_spi_comp_lag1_sq,cen_spi_comp_lag1_cub,cen_spi_comp_lag2,cen_spi_comp_lag2_sq,cen_spi_comp_lag2_cub,cen_di_score,cen_di_score_lag1,cen_di_score_lag1_sq,cen_di_score_lag1_cub,cen_di_score_lag2,cen_di_score_lag2_sq,cen_di_score_lag2_cub,cen_log_gdppc,cen_log_gdppc_sq,cen_log_gdppc_cub,di_score_lag1,di_score_lag2,spi_comp_lag1,spi_comp_lag2,log_gdppc_lag1,log_gdppc_lag2
Afghanistan,AFG,2016,44.3111464935065,39.39625,51.1111,2.55,0,0.352,1,0,1,0,8,0,0,1,0,1,0,0,0,1,6.25782507663006,L,0,30.5965,37.9625714285714,34.5322142857143,38.513,19.68175,39.9494,34.974,44.3165714285714,9.603,NA,34.15325,95.2942857142857,98.801,NA,60.7642,47.8064545454545,37.719,70,6.73333333333333,54.80625,25.4416666666667,40,-13.01010416666665,NA,NA,NA,NA,NA,NA,0.7162499999999998,NA,NA,NA,NA,NA,NA,0.13935463971557915,0.019419715610258872,0.002706227472246633,NA,NA,NA,NA,NA,NA
Angola,AGO,2016,52.0509793926662,47.3954166666667,42.22216667,3.4,0,0.309,0,0,0,0,0,0,1,1,0,1,0,0,0,1,7.49995051240542,LM,1,48.6075,55.372875,32.6720714285714,45.97875,49.51075,52.759,37.46375,57.2284285714286,16.6517142857143,39.4355,43.6685,93.2704285714286,92.371,68.51,63.3374,40.4981818181818,47.5308,80,7.66666666666667,70.44375,38.8666666666667,40,-8.874427083333288,NA,NA,NA,NA,NA,NA,-0.29125000000000023,NA,NA,NA,NA,NA,NA,-0.17489900236140254,0.030589661027013892,-0.0053501011961982065,NA,NA,NA,NA,NA,NA
Albania,ALB,2016,71.7635598166539,64.905,82.22223333,5.91,1,0.529,0,0,0,0,0,0,1,2,0,0,1,0,0,1,8.32459227618148,UM,2,96.3435,45.9357142857143,81.0192142857143,96.042,50.09775,75.8362,84.23425,59.7862857142857,35.648,78.4865,88.102,80.9758571428572,90.2295,44.3992,82.9718,66.2315454545455,63.6412,100,18.1333333333333,63.1,63.2916666666667,80,-13.195520833333333,NA,NA,NA,NA,NA,NA,-0.16999999999999993,NA,NA,NA,NA,NA,NA,-0.3228184469905724,0.10421174971740499,-0.0336414752019429,NA,NA,NA,NA,NA,NA
United Arab Emirates,ARE,2016,64.6342153792286,47.0433333333333,NA,2.75,0,0.097,0,0,0,0,0,0,1,0,0,1,0,0,0,1,10.629256843953,H,3,99.5505,66.957375,84.1040769230769,85.6175,54.07025,57.931,67.59325,60.6012857142857,70.722,84.3325,69.9745,46.1828571428572,23.8583333333333,71.1773333333333,44.6265,73.5238,37.9586,80,10.633333333333301,38.45,51.1333333333333,55,-16.70718750000004,NA,NA,NA,NA,NA,NA,-0.05874999999999986,NA,NA,NA,NA,NA,NA,-0.06184958233548876,0.0038253708350744035,-2.3659758842771173e-4,NA,NA,NA,NA,NA,NA
Argentina,ARG,2016,73.3531366246499,65.4683333333333,88.8889,6.96,1,0.757,0,0,0,0,0,0,1,2,0,0,1,0,0,1,9.44935430472574,UM,2,97.158,67.794125,81.9948571428571,94.9806666666667,75.20175,77.6494,72.275,74.2348571428571,51.4902857142857,41.9835,88.5465,79.4057142857143,88.7716666666667,61.791,60.3282,60.6734,72.7244,70,75.6,79.825,66.9166666666667,35,-6.926197916666709,NA,NA,NA,NA,NA,NA,0.06125000000000025,NA,NA,NA,NA,NA,NA,0.06846156584231622,0.004686985997581799,3.208784004754605e-4,NA,NA,NA,NA,NA,NA
Armenia,ARM,2016,72.1000726934524,79.0716666666667,92.22223333,3.88,0,0.356,0,1,1,1,4,4,0,1,0,1,0,0,1,0,8.16747251583078,LM,1,91.22,60.120375,75.9976428571428,77.03225,52.09025,64.8008,76.16025,64.7785,42.137,81.551,88.6223333333333,89.2668571428571,91.2963333333333,NA,61.5406,76.0995714285714,60.8874,100,84.4666666666667,75.65,60.2416666666667,75,-3.7519270833332996,NA,NA,NA,NA,NA,NA,-1.1462500000000002,NA,NA,NA,NA,NA,NA,-0.3073931956410245,0.09449057672640118,-0.029045760337891875,NA,NA,NA,NA,NA,NA
Australia,AUS,2016,75.6100000827604,87.4166666666667,NA,9.01,1,0.871,0,0,0,0,0,0,1,3,0,0,1,0,0,1,10.8175365953017,H,3,99.599,57.505125,95.5585714285714,95.497,77.63175,91.1216,71.34825,82.1148571428571,91.1651428571429,80.0175,93.42575,47.9031428571429,21.5043333333333,65.6548333333333,61.8354,87.8065454545455,65.6812,100,89.2666666666667,69.525,78.2916666666667,100,-0.6471874999999727,NA,NA,NA,NA,NA,NA,0.07124999999999915,NA,NA,NA,NA,NA,NA,-0.13370510075399977,0.01787705396763723,-0.002390253301927627,NA,NA,NA,NA,NA,NA
Austria,AUT,2016,82.6407627435065,86.3220833333333,NA,8.41,1,0.851,0,0,0,0,0,0,1,3,0,0,1,0,0,1,10.7157834888432,H,3,99.1575,76.007,93.617,95.3156666666667,78.11325,92.4154,85.70075,77.8854285714286,93.0201428571429,92.227,96.164,42.2387142857143,68.8713333333333,NA,72.3984,90.8868181818182,68.2338,100,90.5,69.19375,71.9166666666667,100,-2.346614583333391,NA,NA,NA,NA,NA,NA,0.14499999999999957,NA,NA,NA,NA,NA,NA,-0.11148149907722527,0.012428124636505378,-0.0013855059651962148,NA,NA,NA,NA,NA,NA
Azerbaijan,AZE,2016,70.720194047619,51.79875,75.55556667,2.65,0,0.199,0,0,0,0,0,0,1,1,0,1,0,0,0,1,8.2637670221791,UM,2,99.26,57.7474285714286,71.7955714285714,71.2005,52.91025,65.5174,68.3365,69.518,37.1294285714286,97.5,82.34875,84.2351428571429,79.5893333333333,NA,65.1916,66.302,62.9412,70,13.7333333333333,59.81875,55.4416666666667,60,-14.109687500000007,NA,NA,NA,NA,NA,NA,-0.06625000000000014,NA,NA,NA,NA,NA,NA,-0.2750388575511149,0.07564637316302247,-0.02080569205264302,NA,NA,NA,NA,NA,NA
Burundi,BDI,2016,53.7845586309524,50.135,62.22223333,2.4,0,0.167,1,0,1,0,1,0,0,1,0,1,0,0,0,1,5.46080266843041,L,0,0,60.448,44.3935,42.72775,55.884,54.74,14.83475,65.8215,11.7694285714286,58.366,65.8083333333333,96.7975714285714,99.5813333333333,NA,82.3182,49.4885714285714,57.574,80,44.3666666666667,68.6,22.7083333333333,35,-0.7881770833333306,NA,NA,NA,NA,NA,NA,0.1825000000000001,NA,NA,NA,NA,NA,NA,0.06183636252455482,0.003823735730268168,2.364459088149558e-4,NA,NA,NA,NA,NA,NA
