model,term,estimate,std.error,p.value,adj_r_squared,n_obs,statistic,conf.low,conf.high
Moderator: DI x Income Level,cen_log_gdppc,1.0774235014153062,0.9682490712989046,0.26606664795839624,-0.1437265055575585,1232,1.112754489885484,-0.8203098063949013,2.9751568092255134
Moderator: DI x Income Level,"dplyr::lag(cen_di_score, 1)",-0.05294927964203542,0.27379607534331346,0.8466910757739804,-0.1437265055575585,1232,-0.1933894763671912,-0.5895797264233448,0.4836811671392739
Moderator: DI x Income Level,"dplyr::lag(cen_di_score, 1):factor(income_level_recoded)1",-0.4836479499162628,0.31460101343069824,0.12450966594979702,-0.1437265055575585,1232,-1.5373375458715839,-1.1002546057402331,0.13295870590770742
Moderator: DI x Income Level,"dplyr::lag(cen_di_score, 1):factor(income_level_recoded)2",-0.08207422339241006,0.3281485762848407,0.8025485225578021,-0.1437265055575585,1232,-0.25011299552665955,-0.7252336144887922,0.561085167703972
Moderator: DI x Income Level,"dplyr::lag(cen_di_score, 1):factor(income_level_recoded)3",-0.21380434556940384,0.31687898010192267,0.5000015649974936,-0.1437265055575585,1232,-0.6747192429760871,-0.8348757340269566,0.40726704288814886
Moderator: DI x Income Level,factor(income_level_recoded)1,0.448391884510514,0.926648360240926,0.6285671316248643,-0.1437265055575585,1232,0.4838856935914,-1.3678055278947985,2.2645892969158266
Moderator: DI x Income Level,factor(income_level_recoded)2,-1.0330601179878136,1.2633634835216527,0.41370909357306207,-0.1437265055575585,1232,-0.8177061720259132,-3.5092070450733144,1.4430868090976872
Moderator: DI x Income Level,factor(income_level_recoded)3,-0.021213998990295958,1.788503069837435,0.9905384976671348,-0.1437265055575585,1232,-0.011861315391661135,-3.5266156021109922,3.4841876041304007
Moderator: DI x Regime Binary,cen_log_gdppc,0.8994707189187988,0.9179387062633673,0.32736801485875755,-0.14282294166609066,1230,0.9798810234076024,-0.8996560853726924,2.69859752321029
Moderator: DI x Regime Binary,"dplyr::lag(cen_di_score, 1)",-0.49668228295514244,0.14195127431805854,4.864274956579024e-4,-0.14282294166609066,1230,-3.498963185369279,-0.7749016681781027,-0.21846289773218225
Moderator: DI x Regime Binary,"dplyr::lag(cen_di_score, 1):factor(regime_type_binary)1",0.4350196049829661,0.1998340154144466,0.02970735589919641,-0.14282294166609066,1230,2.1769046880269878,0.043352131884628886,0.8266870780813034
Moderator: DI x Regime Binary,factor(regime_type_binary)1,0.2628217363983722,0.6326732773216225,0.6779223132533824,-0.14282294166609066,1230,0.4154146315630864,-0.9771951011329292,1.5028385739296737
Moderator: DI x Regime Change Episode (aut_ep & dem_ep),aut_ep1,0.5964655557279716,0.4818225791650643,0.21601387821304813,-0.14218513807105992,1230,1.2379360817037022,-0.34788934637375335,1.5408204578296965
Moderator: DI x Regime Change Episode (aut_ep & dem_ep),cen_log_gdppc,0.7524437635989417,0.9160009676948537,0.41157795702804145,-0.14218513807105992,1230,0.8214442889645531,-1.0428851428868087,2.5477726700846923
Moderator: DI x Regime Change Episode (aut_ep & dem_ep),dem_ep1,0.23008704318960305,0.5242462752642856,0.6608298630142745,-0.14218513807105992,1230,0.43889113579988803,-0.7974167753576679,1.2575908617368738
Moderator: DI x Regime Change Episode (aut_ep & dem_ep),"dplyr::lag(cen_di_score, 1)",-0.1831678988182191,0.10078601193058463,0.06943903495873467,-0.14218513807105992,1230,-1.8173940540912976,-0.3807048523475891,0.014369054711150936
Moderator: DI x Regime Change Episode (aut_ep & dem_ep),"dplyr::lag(cen_di_score, 1):aut_ep1",-0.3601536225598603,0.2136768040307227,0.09218522867290453,-0.14218513807105992,1230,-1.685506408585543,-0.7789524627916997,0.058645217671979166
Moderator: DI x Regime Change Episode (aut_ep & dem_ep),"dplyr::lag(cen_di_score, 1):dem_ep1",-0.5052944139717229,0.29566018954297657,0.08773667869608603,-0.14218513807105992,1230,-1.7090377123575318,-1.0847777371382428,0.07418890919479693
