country_code,country_name
ABW,Aruba
ASM,American Samoa
BMU,Bermuda
CHI,Channel Islands
COM,Comoros
CUB,Cuba
CUW,Curaçao
CYM,Cayman Islands
ERI,Eritrea
FRO,Faroe Islands
GIB,Gibraltar
GRL,Greenland
GUM,Guam
HKG,Hong Kong SAR China
IMN,Isle of Man
LIE,Liechtenstein
MAC,Macao SAR China
MAF,Saint Martin (French part)
MCO,Monaco
MNP,Northern Mariana Islands
NCL,New Caledonia
PRI,Puerto Rico
PRK,North Korea
PYF,French Polynesia
SMR,San Marino
SXM,Sint Maarten
TCA,Turks & Caicos Islands
VGB,British Virgin Islands
VIR,U.S. Virgin Islands
XKX,Kosovo
